"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"left-tap","0.6376047134399414","0.501046359539032","True","1","3","1","1","0","0.035023126751184464","0.03499642387032509","0.04230165481567383","0.016765762120485306","0","0.09230510890483856"
"left-tap","0.6504278182983398","0.5134558081626892","True","1","3","1","1","0","0.03501931205391884","0.035000238567590714","0.043945811688899994","0.016796279698610306","0","0.09493346512317657"
"left-tap","0.6833295822143555","0.5452964305877686","True","1","3","1","1","0","0.03501931205391884","0.035000238567590714","0.048977456986904144","0.016292734071612358","0","0.10256296396255493"
"left-tap","0.6958847045898438","0.557446300983429","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.05110226944088936","0.016136329621076584","0","0.10524854063987732"
"left-tap","0.7076940536499023","0.5688754320144653","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.05320800840854645","0.01594177819788456","0","0.10789978504180908"
"left-tap","0.7180061340332031","0.5788540840148926","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.05507723242044449","0.01572052203118801","0","0.11034122109413147"
"left-tap","0.7295732498168945","0.5900481343269348","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.05715245008468628","0.015430603176355362","0","0.11319082975387573"
"left-tap","0.740269660949707","0.6003996729850769","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.058979712426662445","0.015098719857633114","0","0.11618541181087494"
"left-tap","0.751957893371582","0.6117106080055237","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.06069253385066986","0.014595173299312592","0","0.12029388546943665"
"left-tap","0.7831239700317383","0.6418715119361877","True","1","3","1","1","0","0.035023123025894165","0.035000238567590714","0.06222224608063698","0.0128327626734972","0","0.13402695953845978"
"left-tap","0.7965230941772461","0.6548382639884949","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.06111215427517891","0.01197826024144888","0","0.14102701842784882"
"left-tap","0.8080902099609375","0.6660323143005371","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.05952903628349304","0.011238199658691883","0","0.14717638492584229"
"left-tap","0.8193130493164062","0.6768930554389954","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.05762166529893875","0.010562989860773087","0","0.15296335518360138"
"left-tap","0.8313226699829102","0.6885151267051697","True","1","3","1","1","0","0.03501931205391884","0.035000238567590714","0.05527559667825699","0.009895410388708115","0","0.15891052782535553"
"left-tap","0.8414640426635742","0.6983300447463989","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.053097378462553024","0.009483418427407742","0","0.16364844143390656"
"left-tap","0.852961540222168","0.7094560861587524","True","1","3","1","1","0","0.03501931205391884","0.03499642387032509","0.05056438967585564","0.009182053618133068","0","0.1683443933725357"
