"scenario","time","phase","turnWeight","direction","leftHeight","rightHeight","leftContact","rightContact","eamm","presentationClock","animatorSpeed","stateLength","stateSpeed","stateSpeedMultiplier","turnClipLength","leftAboveSurface","rightAboveSurface","leftProbeClearance","rightProbeClearance","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection","pelvisOffset","leftFloorPredicted","rightFloorPredicted","leftFloorGoal","rightFloorGoal","leftFloorBone","rightFloorBone","leftFloorEvaluated","rightFloorEvaluated","leftReason","rightReason","step"
"right-tap","0.3117256164550781","0.26167550683021545","1","1","-1.1627188920974731","-1.164381504058838","0.8500000238418579","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03732936456799507","0.036795053631067276","0.011777982115745544","-0.028299907222390175","0.036999162286520004","0.03993651270866394","0.03004106879234314","0.04045531898736954","0.0011719614267349243","0","-0.004173463676124811","0.035828035324811935","0.03993651270866394","0.0422501303255558","0.005643896758556366","0.02875472605228424","0.03993651270866394","True","True","3","1","True"
"right-tap","0.3240528106689453","0.2736045718193054","1","1","-1.1650214195251465","-1.1639903783798218","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.037201281636953354","0.007047460414469242","-0.028292277827858925","0.03502693772315979","0.04026458039879799","0.03128086030483246","0.04046294838190079","0","0","-0.0037478336598724127","0","0.04026458039879799","0","0.0060006193816661835","0","0.04026458039879799","False","True","3","1","True"
"right-tap","0.3613157272338867","0.3096659183502197","1","1","-1.165025234222412","-1.1623404026031494","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313420176506","0.03890028968453407","-0.0056291487999260426","-0.028261760249733925","0.035023123025894165","0.04178284853696823","0.03469505533576012","0.04114578664302826","0","0","-0.0023439154028892517","0","0.04178284853696823","0","0.007254224270582199","0","0.04178284853696823","False","True","3","1","True"
"right-tap","0.3746528625488281","0.32257288694381714","1","1","-1.1650214195251465","-1.1616419553756714","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.039612140506505966","-0.008848804980516434","-0.0282579455524683","0.03502693772315979","0.04245424270629883","0.035244379192590714","0.04155777767300606","0","0","-0.001918290974572301","0","0.04245424270629883","0","0.0076410211622715","0","0.04245424270629883","False","True","3","1","True"
"right-tap","0.38653087615966797","0.3340679109096527","1","1","-1.1650214195251465","-1.1609501838684082","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.04031027480959892","-0.011315335519611835","-0.0282579455524683","0.03502693772315979","0.043125636875629425","0.03551522642374039","0.041946884244680405","0","0","-0.0015892520314082503","0","0.043125636875629425","0","0.00794234499335289","0","0.043125636875629425","False","True","3","1","True"
"right-tap","0.39801025390625","0.3451763391494751","1","1","-1.165025234222412","-1.1603235006332397","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.04092870652675629","-0.013728903606534004","-0.0282732043415308","0.035023123025894165","0.04373981058597565","0.03555718809366226","0.0423283576965332","0","0","-0.0013154774205759168","0","0.04373981058597565","0","0.008197490125894547","0","0.04373981058597565","False","True","3","1","True"
"right-tap","0.40820980072021484","0.35504719614982605","1","1","-1.165025234222412","-1.1596577167510986","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.04159023240208626","-0.01577531173825264","-0.028284648433327675","0.035023123025894165","0.04439976438879967","0.03538552299141884","0.0428166426718235","0","0","-0.0011064392747357488","0","0.04439976438879967","0","0.008394286036491394","0","0.04439976438879967","False","True","3","1","True"
"right-tap","0.41954994201660156","0.3660210967063904","1","1","-1.165025234222412","-1.1591594219207764","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.04206988960504532","-0.017861919477581978","-0.028315167874097824","0.035023123025894165","0.04489186406135559","0.035000234842300415","0.0430607870221138","0","0","-0.0009083229815587401","0","0.04489186406135559","0","0.008574578911066055","0","0.04489186406135559","False","True","3","1","True"
"right-tap","0.42982959747314453","0.37596967816352844","1","1","-1.165025234222412","-1.1587657928466797","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.04244104027748108","-0.01960548385977745","-0.028345685452222824","0.035023123025894165","0.04528096690773964","0.03456917032599449","0.04325152561068535","0","0","-0.0007566302083432674","0","0.045277152210474014","0","0.008714601397514343","0","0.045277152210474014","False","True","3","1","True"
"right-tap","0.46488475799560547","0.4098939597606659","1","1","-1.1650214195251465","-1.1575182676315308","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.043557118624448776","-0.025041239336133003","-0.028528792783617973","0.03502693772315979","0.04651694372296333","0.033192045986652374","0.044910937547683716","0","0","-0.0003959997557103634","0","0.04651694372296333","0","0.009009979665279388","0","0.04651694372296333","False","True","3","1","True"
"right-tap","0.4765758514404297","0.4212077260017395","1","1","-1.1650214195251465","-1.156762719154358","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694144845009","0.04424416273832321","-0.02691221795976162","-0.028620347380638123","0.03502693772315979","0.047276079654693604","0.032757166773080826","0.046120211482048035","0","0","-0.00031721670529805124","0","0.047276079654693604","0","0.00907062366604805","0","0.047276079654693604","False","True","3","1","True"
"right-tap","0.4878091812133789","0.4320787489414215","1","1","-1.165025234222412","-1.1562162637710571","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.035023126751184464","0.044715188443660736","-0.02882145345211029","-0.028727158904075623","0.035023123025894165","0.047829218208789825","0.032295580953359604","0.04711967334151268","0","0","-0.00025568334967829287","0","0.047829218208789825","0","0.009106960147619247","0","0.047829218208789825","False","True","3","1","True"
"right-tap","0.4988718032836914","0.44278448820114136","1","1","-1.1650214195251465","-1.1548757553100586","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694144845009","0.04597342014312744","-0.029899921268224716","-0.027895545586943626","0.03502693772315979","0.04917963594198227","0.03188740462064743","0.04896600916981697","0","0","-0.00020631297957152128","0","0.04917963594198227","0","0.010080352425575256","0","0.04917963594198227","False","True","3","1","True"
"right-tap","0.5106897354125977","0.4542209804058075","1","1","-1.1650214195251465","-1.1521284580230713","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.04862464964389801","-0.02989058382809162","-0.025663921609520912","0.03502693772315979","0.051933880895376205","0.03162037208676338","0.05234968662261963","0","0","-0.000163692791829817","0","0.051933880895376205","0","0.012456957250833511","0","0.051933880895376205","False","True","3","1","True"
"right-tap","0.5223522186279297","0.4655075669288635","1","1","-1.165025234222412","-1.1495468616485596","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.05109982192516327","-0.02988075651228428","-0.023546738550066948","0.035023123025894165","0.05452409014105797","0.03149448707699776","0.05565325543284416","0","0","-0.0001300098083447665","0","0.05452409014105797","0","0.014723509550094604","0","0.05452409014105797","False","True","3","1","True"
"right-tap","0.5320892333984375","0.4749305844306946","1","1","-1.165025234222412","-1.1474791765213013","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.05307174101471901","-0.029876908287405968","-0.02189495414495468","0.035023123025894165","0.05659931153059006","0.03141818940639496","0.0583769828081131","0","0","-0.00010711611685110256","0","0.05659931153059006","0","0.01650148257613182","0","0.05659931153059006","False","True","3","1","True"
"right-tap","0.568272590637207","0.5099467635154724","1","1","-1.1650214195251465","-1.1398431062698364","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.06033363565802574","-0.029876159504055977","-0.016451314091682434","0.03502693772315979","0.06430891156196594","0.031185491010546684","0.06947025656700134","0","0","-5.155387771083042E-05","0","0.06430891156196594","0","0.02244623750448227","0","0.06430891156196594","False","True","3","1","True"
"right-tap","0.5813093185424805","0.5225629210472107","1","1","-1.165025234222412","-1.1368030309677124","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.06325141340494156","-0.02987365424633026","-0.014910158701241016","0.035023123025894165","0.06741411238908768","0.03116641938686371","0.07423487305641174","0","0","-3.949820529669523E-05","0","0.06741411238908768","0","0.02419007569551468","0","0.06741411238908768","False","True","3","1","True"
"right-tap","0.5920543670654297","0.5329614281654358","1","1","-1.1650214195251465","-1.1341277360916138","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.06583591550588608","-0.029873574152588844","-0.013803882524371147","0.03502693772315979","0.07017216831445694","0.03115878812968731","0.0784272775053978","0","0","-3.167812974425033E-05","0","0.07017216831445694","0","0.025477536022663116","0","0.07017216831445694","False","True","3","1","True"
"right-tap","0.6034660339355469","0.5440044403076172","1","1","-1.165025234222412","-1.131278157234192","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.06860454380512238","-0.029877059161663055","-0.012770088389515877","0.035023123025894165","0.07312096655368805","0.031147345900535583","0.0831308513879776","0","0","-2.5033566998899914E-05","0","0.07312096655368805","0","0.026695314794778824","0","0.07312096655368805","False","True","3","1","True"
"right-tap","0.6142597198486328","0.554450511932373","1","1","-1.165025234222412","-1.128686785697937","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.07113566249608994","-0.02987910807132721","-0.011904140934348106","0.035023123025894165","0.07581035792827606","0.03112064115703106","0.08788783848285675","0","0","-2.0017247152281925E-05","0","0.07581035792827606","0","0.027727160602808","0","0.07581035792827606","False","True","3","1","True"
"right-tap","0.6259937286376953","0.5658060908317566","1","1","-1.165025234222412","-1.1256685256958008","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.07410260289907455","-0.029880473390221596","-0.011049638502299786","0.035023123025894165","0.07895752042531967","0.031093938276171684","0.09370913356542587","0","0","-1.5681289369240403E-05","0","0.07895752042531967","0","0.028765704482793808","0","0.07895752042531967","False","True","3","1","True"
"right-tap","0.6373805999755859","0.5768252015113831","1","1","-1.165025234222412","-1.1225367784500122","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.07720344513654709","-0.029883967712521553","-0.010313393548130989","0.035023123025894165","0.08223439007997513","0.03108249418437481","0.09976694732904434","0","0","-1.2362376764940564E-05","0","0.08223439007997513","0","0.029681790620088577","0","0.08223439007997513","False","True","3","1","True"
"right-tap","0.6719913482666016","0.6103194952011108","1","1","-1.165025234222412","-1.1109261512756348","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.08880007266998291","-0.02989909239113331","-0.008638720959424973","0.035023123025894165","0.09441486746072769","0.03098331019282341","0.12048482149839401","0","0","-5.959854206594173E-06","0","0.09441486746072769","0","0.03194412589073181","0","0.09441486746072769","False","True","3","1","True"
"right-tap","0.6850299835205078","0.6229375600814819","1","1","-1.165025234222412","-1.105013370513916","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502313047647476","0.09477259963750839","-0.02990318089723587","-0.00811991561204195","0.035023123025894165","0.10062526911497116","0.030895570293068886","0.12906798720359802","0","0","-4.521798928180942E-06","0","0.10062526911497116","0","0.03270462155342102","0","0.10062526911497116","False","True","3","1","True"
"right-tap","0.6953067779541016","0.6328829526901245","1","1","-1.1650214195251465","-1.1000471115112305","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.09981386363506317","-0.02990756556391716","-0.007616369519382715","0.03502693772315979","0.10584001988172531","0.030826905742287636","0.1357399821281433","0","0","-3.6354367694002576E-06","0","0.10584001988172531","0","0.03338165581226349","0","0.10584001988172531","False","True","3","1","True"
"right-tap","0.707615852355957","0.6447945833206177","1","1","-1.1650214195251465","-1.0936145782470703","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.10637010633945465","-0.029916344210505486","-0.0067847552709281445","0.03502693772315979","0.1125883013010025","0.03074679523706436","0.14362886548042297","0","0","-2.7972257612418616E-06","0","0.1125883013010025","0","0.034405313432216644","0","0.1125883013010025","False","True","3","1","True"
"right-tap","0.7189435958862305","0.6557574272155762","1","1","-1.1650214195251465","-1.087397813796997","1","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.03502694517374039","0.11272846907377243","-0.029919806867837906","-0.005735700484365225","0.03502693772315979","0.11910007148981094","0.030681947246193886","0.1504610776901245","0","0","-2.1963653580314713E-06","0","0.11910007148981094","0","0.035607777535915375","0","0.11910007148981094","False","True","3","1","True"
