time,y,grounded,leftLock,rightLock,leftWeight,rightWeight,leftError,rightError,x,z,speed,commandY,progress
15.3611,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3709,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3805,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3903,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3994,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4089,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4186,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4275,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4373,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4462,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4560,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4656,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4753,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4844,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.4945,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5034,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5135,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5229,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5330,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5422,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5524,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5618,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5721,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5815,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.5916,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6008,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6111,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6210,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6312,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6405,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6508,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6601,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6705,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6798,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6893,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.6996,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7091,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7197,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7291,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7396,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7501,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7606,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7707,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7802,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.7905,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8019,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8122,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8216,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8317,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8410,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8514,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8607,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8717,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8811,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.8916,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9019,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9120,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9215,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9321,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9423,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.9531,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
