"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"right-tap","0.7013998031616211","0.6342377066612244","True","1","3","1","1","0","0.03502694144845009","0.10691196471452713","0.03081546351313591","0.13709421455860138","0","0"
"right-tap","0.7221860885620117","0.6543534994125366","True","1","3","1","1","0","0.03502693772315979","0.1186041533946991","0.03068576194345951","0.15008723735809326","0","0"
"right-tap","0.7373781204223633","0.6690556406974792","True","1","3","1","1","0","0.03502693772315979","0.1272636204957962","0.03063235431909561","0.15821263194084167","0","0"
"right-tap","0.7495994567871094","0.6808832883834839","True","1","3","1","1","0","0.03502694144845009","0.13373342156410217","0.030613280832767487","0.16358380019664764","0","0"
"right-tap","0.7877426147460938","0.7177959680557251","True","1","3","1","1","0","0.03502693772315979","0.1500757932662964","0.030659057199954987","0.18689951300621033","0","0"
"right-tap","0.8021707534790039","0.7317582368850708","True","1","3","1","1","0","0.035023126751184464","0.16077613830566406","0.03067813254892826","0.18728479743003845","0","0"
"right-tap","0.8151979446411133","0.7443655729293823","True","1","3","1","1","0","0.035023126751184464","0.1650143265724182","0.03069339133799076","0.1923469603061676","0","0"
"right-tap","0.8283252716064453","0.7570695877075195","True","1","3","1","1","0","0.035023126751184464","0.1710912138223648","0.03071627952158451","0.19704672694206238","0","0"
"right-tap","0.8403921127319336","0.7687471508979797","True","1","3","1","1","0","0.035023123025894165","0.17484110593795776","0.03073916770517826","0.19966745376586914","0","0"
"right-tap","0.8534622192382812","0.7813952565193176","True","1","3","1","1","0","0.035023123025894165","0.17719098925590515","0.03076968528330326","0.2009911686182022","0","0"
"right-tap","0.8911476135253906","0.8178654909133911","True","1","3","1","1","0","0.035023126751184464","0.1746503710746765","0.03084598109126091","0.19585652649402618","0","0"
"right-tap","0.9085283279418945","0.8346851468086243","True","1","3","1","1","0","0.035023123025894165","0.16880618035793304","0.03085361048579216","0.18846355378627777","0","0"
"right-tap","0.9223098754882812","0.8480222821235657","True","1","3","1","1","0","0.03502694144845009","0.1627216637134552","0.030857425183057785","0.18091417849063873","0","0"
"right-tap","0.9361085891723633","0.8613755702972412","True","1","3","1","1","0","0.035023126751184464","0.15465347468852997","0.030849795788526535","0.17109884321689606","0","0"
"right-tap","0.9492702484130859","0.8741129040718079","True","1","3","1","1","0","0.035023123025894165","0.14606648683547974","0.03083835169672966","0.16082191467285156","0","0"
"right-tap","0.9646854400634766","0.8890306353569031","True","1","3","1","1","0","0.035023123025894165","0.13499610126018524","0.03082309290766716","0.14767631888389587","0","0"
"right-tap","1.0071525573730469","0.9301274418830872","True","1","3","1","1","0","0.035023123025894165","0.10726673901081085","0.030826907604932785","0.10928473621606827","0","0"
"right-tap","1.0214776992797852","0.9439912438392639","True","1","3","1","1","0","0.035023123025894165","0.09893915057182312","0.030834536999464035","0.10147213935852051","0","0"
"right-tap","1.0336179733276367","0.955739438533783","True","1","3","1","1","0","0.03502693772315979","0.09177125245332718","0.03084598109126091","0.09491460025310516","0","0"
"right-tap","1.044698715209961","0.9664629101753235","True","1","3","1","1","0","0.03502693772315979","0.08582406491041183","0.030857425183057785","0.08946333080530167","0","0"
"right-tap","1.0574102401733398","0.9787640571594238","True","1","3","1","1","0","0.035023123025894165","0.07999513298273087","0.030910830944776535","0.08405020833015442","0","0"
"right-tap","1.068669319152832","0.9896600246429443","True","1","3","1","1","0","0.035023123025894165","0.07568447291851044","0.03100620023906231","0.08005235344171524","0","0"
"right-tap","1.1040105819702148","1.023861050605774","True","1","3","1","1","0","0.035023123025894165","0.06884845346212387","0.02916749380528927","0.07277382910251617","0","0"
"right-tap","1.1174650192260742","1.0307612419128418","False","0","3","3","1","0.03363825008273125","0.035007867962121964","0.06351543962955475","0.031246528029441833","0.0681808739900589","0","0"
"right-tap","1.1305789947509766","1.0374863147735596","False","0","3","3","1","0.06642274558544159","0.035007867962121964","-0.03451965004205704","0.031238898634910583","-0.044090840965509415","0","0"
"right-tap","1.1428298950195312","1.0437685251235962","False","0","3","3","1","0.09704826027154922","0.03501168265938759","-0.051083266735076904","0.03123508393764496","-0.06508719176054001","0","0"
"right-tap","1.156707763671875","1.0508853197097778","False","0","3","3","1","0.13174276053905487","0.035007864236831665","-0.05611872673034668","0.03122745454311371","-0.07428835332393646","0","0"
"right-tap","1.1706104278564453","1.0580153465270996","False","0","3","3","1","0.16650176048278809","0.035007867962121964","-0.051811881363391876","0.03122745454311371","-0.07261749356985092","0","0"
"right-tap","1.2117929458618164","1.0791343450546265","False","0","3","3","1","0.26945674419403076","0.03501168265938759","-0.02866401895880699","0.03123508393764496","-0.049935027956962585","0","0"
"right-tap","1.2282047271728516","1.0875507593154907","False","0","3","3","1","0.31048673391342163","0.03500405326485634","-0.0222666934132576","0.03123508393764496","-0.042183469980955124","0","0"
"right-tap","1.2405633926391602","1.093888282775879","False","0","3","3","1","0.3413819670677185","0.035007864236831665","-0.01866176165640354","0.031246528029441833","-0.03747226297855377","0","0"
"right-tap","1.256056785583496","0.7727415561676025","False","0","3","3","1","0.38011571764945984","0.035007864236831665","-0.015213231556117535","0.031254157423973083","-0.03269238770008087","0","0"
"right-tap","1.2688684463500977","0.7793118357658386","False","0","3","3","1","0.4121457040309906","0.03500404953956604","-0.013008310459554195","0.03125797212123871","-0.027763739228248596","0","0"
"right-tap","1.2835750579833984","0.7868537306785583","False","0","3","3","1","0.44891247153282166","0.03501168265938759","-0.01296634878963232","0.031269416213035583","-0.02719152718782425","0","0"
"right-tap","1.325444221496582","0.8083251118659973","False","0","3","3","1","0.5535854697227478","0.035007864236831665","-0.011532004922628403","0.031292304396629333","-0.024875978007912636","0","0"
"right-tap","1.3411426544189453","0.8163754940032959","False","0","3","3","1","0.5928311944007874","0.035007867962121964","-0.009250788018107414","0.03129611909389496","-0.02225906401872635","0","0"
"right-tap","1.3540983200073242","0.8230193257331848","False","0","3","3","1","0.6252199411392212","0.03501168265938759","-0.006878018379211426","0.03130374848842621","-0.019584927707910538","0","0"
"right-tap","1.3664445877075195","0.8293509483337402","False","0","3","3","1","0.6560866832733154","0.035007864236831665","-0.0042916215024888515","0.031307563185691833","-0.016674280166625977","0","0"
"right-tap","1.383096694946289","0.8378905653953552","False","0","3","3","1","0.6977171897888184","0.035007867962121964","-0.0004043980152346194","0.03131137788295746","-0.012294953688979149","0","0"
"right-tap","1.3966655731201172","0.8448487520217896","False","0","3","3","1","0.7316384315490723","0.03500405326485634","0.003032685723155737","0.03131137788295746","-0.008400100283324718","0","0"
"right-180","0","1.5166053771972656","False","0","3","3","1","1","0.03501931205391884","0.035023123025894165","0.03112064301967621","0.02965959534049034","0","0"
"right-180","0.04364585876464844","1.5389878749847412","True","0","1","1","0","0","0.04614691808819771","0.035000234842300415","0.05669468268752098","0.026272103190422058","0","0.06311088055372238"
