frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
59,5.549764,0.009560,0.00000,1.00000,0.50000,1.00000,0.00000,-0.01680,1,0,1,1785933915,1,0.179964,0.016049,-0.013611,0.067247,0.013240,0.175914,0.744125,0.000000,0.468922,-0.872835,0.135173,-0.061154,-0.861360,0.504301,Stance,Swing,0.000000,0.000000
60,5.565947,0.005553,0.00000,1.00000,0.50000,1.00000,0.00000,-0.01260,1,0,1,1785933915,1,0.171294,0.016982,-0.014726,0.064656,0.016265,0.177891,0.710258,0.000000,0.438142,-0.885563,0.154303,-0.075159,-0.860153,0.504469,Stance,Swing,0.000000,0.000000
61,5.588093,0.006325,0.00007,1.00000,0.50000,1.00000,0.00000,-0.00900,1,0,1,1785933915,1,0.159866,0.017598,-0.016911,0.063323,0.019689,0.179549,0.674754,0.000000,0.399155,-0.900633,0.171859,-0.084393,-0.858800,0.505313,Stance,Swing,0.000000,0.000000
62,5.609279,0.005763,0.00000,1.00000,0.50000,1.00000,0.00000,-0.00624,1,0,1,1785933915,1,0.148657,0.018143,-0.020011,0.062587,0.022463,0.181338,0.639297,0.000000,0.359371,-0.914295,0.186862,-0.086619,-0.857597,0.506975,Stance,Swing,0.000000,0.000000
63,5.625772,0.005735,0.00016,1.00000,0.50000,1.00000,0.00000,-0.00467,1,0,1,1785933915,1,0.143097,0.018880,-0.020894,0.061432,0.023916,0.183514,0.614112,0.000000,0.336934,-0.920421,0.198245,-0.086327,-0.856309,0.509198,Stance,Swing,0.000000,0.000000
64,5.646903,0.005797,0.00000,1.00000,0.50000,1.00000,0.00000,-0.00318,1,0,1,1785933915,1,0.132481,0.019268,-0.025063,0.062124,0.026688,0.187753,0.583019,0.000000,0.300181,-0.930315,0.210726,-0.071922,-0.852393,0.517932,Stance,Swing,0.000000,0.000000
65,5.667212,0.005340,0.00017,1.00000,0.50000,1.00000,0.00000,-0.00216,1,0,1,1785933915,1,0.123451,0.019833,-0.029579,0.063405,0.029363,0.192831,0.554823,0.000000,0.270235,-0.936943,0.221611,-0.048436,-0.847368,0.528792,Stance,Swing,0.000000,0.000000
66,5.686158,0.005859,0.00000,1.00000,0.50000,1.00000,0.00000,-0.00152,1,0,1,1785933915,1,0.117886,0.020616,-0.032505,0.064276,0.031541,0.197384,0.533256,0.000000,0.250163,-0.940407,0.230335,-0.028036,-0.842683,0.537681,Stance,Swing,0.000000,0.000000
67,5.709315,0.006147,0.00022,1.00000,0.50000,1.00000,0.00000,-0.00097,1,0,1,1785933915,1,0.107084,0.021248,-0.040459,0.069882,0.037164,0.207920,0.509808,0.000000,0.209780,-0.948406,0.237736,0.015299,-0.829558,0.558211,Stance,Swing,0.000000,0.000000
68,5.727652,0.006376,0.00113,1.00000,0.50000,1.00000,0.00000,-0.00068,1,0,1,1785933915,1,0.102389,0.022106,-0.044698,0.072380,0.040443,0.214131,0.494612,0.000000,0.187258,-0.952222,0.241261,0.035543,-0.821633,0.568907,Stance,Swing,0.000000,0.000000
69,5.747410,0.007376,0.00257,1.00000,0.50000,1.00000,0.00000,-0.00047,1,0,1,1785933915,1,0.096457,0.022711,-0.050149,0.077336,0.044525,0.221007,0.481505,0.000000,0.161015,-0.956582,0.242950,0.058473,-0.810386,0.582971,Stance,Swing,0.000000,0.000000
70,5.771893,0.006958,0.00460,1.00000,0.50000,1.00000,0.00000,-0.00028,1,0,1,1785933915,1,0.088555,0.023598,-0.059604,0.087668,0.049230,0.227189,0.465431,0.000000,0.129164,-0.962210,0.239725,0.088267,-0.793901,0.601606,Stance,Swing,0.000000,0.000000
71,5.790476,0.005664,0.00559,1.00000,0.50000,1.00000,0.00000,-0.00019,1,0,1,1785933915,1,0.081757,0.023802,-0.066980,0.094773,0.052625,0.231834,0.455058,0.000000,0.101009,-0.966953,0.234092,0.104823,-0.779051,0.618136,Stance,Swing,0.000000,0.000000
72,5.809659,0.007518,0.00621,1.00000,0.50000,1.00000,0.00000,-0.00013,1,0,1,1785933915,1,0.077811,0.024327,-0.073247,0.099457,0.054858,0.234444,0.447624,0.000000,0.082960,-0.970670,0.225650,0.114404,-0.768446,0.629605,Stance,Swing,0.000000,0.000000
73,5.827107,0.006115,0.00704,1.00000,0.50000,1.00000,0.00000,-0.00009,1,0,1,1785933915,1,0.074423,0.024961,-0.079943,0.102080,0.056726,0.236994,0.439716,0.000000,0.066844,-0.974486,0.214266,0.118726,-0.759364,0.639742,Stance,Swing,0.000000,0.000000
74,5.849118,0.005753,0.00918,1.00000,0.50000,1.00000,0.00000,-0.00006,1,0,1,1785933915,1,0.068770,0.025386,-0.089956,0.105936,0.057788,0.238467,0.429105,0.000000,0.049106,-0.979701,0.194355,0.125581,-0.750615,0.648696,Stance,Swing,0.000000,0.000000
