sequence,frame,seconds,source_id,events,selected_region,angle_deg,peak_displacement_m,stone_x,stone_y,stone_z,aim_bone_x,aim_bone_y,aim_bone_z,contact_x,contact_y,contact_z,incoming_x,incoming_y,incoming_z,response,first_surface
LeftArm,6,0.2000,2899181831,0,2,0.0000,0.12000,0.8182,70.2836,4.3254,-0.1812,70.2803,4.3264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,7,0.2333,2899181831,0,2,0.0000,0.12000,0.4182,70.2817,4.3252,-0.1811,70.2800,4.3265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,8,0.2667,2899181831,0,2,0.0000,0.12000,0.2182,70.2808,4.3252,-0.1810,70.2796,4.3267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,9,0.3000,2899181831,1,3,7.0392,0.12000,0.1018,70.2840,4.2827,-0.5062,70.3085,4.3685,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,10,0.3333,2899181831,1,3,10.3646,0.12000,-0.0257,70.2896,4.2380,-0.6235,70.3013,4.3781,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,11,0.3667,2899181831,1,3,13.1464,0.12000,-0.0749,70.2936,4.2109,-0.6934,70.2975,4.3985,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,12,0.4000,2899181831,1,3,18.3952,0.12000,-0.1441,70.3043,4.1449,-0.7176,70.3059,4.4137,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,13,0.4333,2899181831,1,3,23.0571,0.12000,-0.1964,70.3167,4.0704,-0.7159,70.2926,4.4261,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,14,0.4667,2899181831,1,3,23.5154,0.12000,-0.2223,70.3230,4.0330,-0.7100,70.2810,4.4233,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,15,0.5000,2899181831,1,3,21.9946,0.12000,-0.2742,70.3354,3.9582,-0.6944,70.2849,4.4187,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,16,0.5333,2899181831,1,3,18.5818,0.12000,-0.3261,70.3479,3.8834,-0.6813,70.2909,4.4194,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,17,0.5667,2899181831,1,3,14.4406,0.12000,-0.3520,70.3541,3.8460,-0.6726,70.2941,4.4191,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,18,0.6000,2899181831,1,3,7.2294,0.12000,-0.4039,70.3665,3.7713,-0.6588,70.2879,4.4170,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,19,0.6333,2899181831,1,3,2.6653,0.12000,-0.4558,70.3790,3.6965,-0.6416,70.2797,4.4141,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,20,0.6667,2899181831,1,3,1.3893,0.12000,-0.4817,70.3852,3.6591,-0.6302,70.2789,4.4114,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,21,0.7000,2899181831,1,3,0.5143,0.12000,-0.5336,70.3977,3.5843,-0.6170,70.2717,4.4075,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,22,0.7333,2899181831,1,3,0.6104,0.12000,-0.5855,70.4101,3.5096,-0.6088,70.2722,4.4046,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,23,0.7667,2899181831,1,3,0.4150,0.12000,-0.6114,70.4163,3.4722,-0.6057,70.2717,4.4027,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,24,0.8000,2899181831,1,3,0.1897,0.12000,-0.6633,70.4288,3.3974,-0.6033,70.2712,4.4012,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,25,0.8333,2899181831,1,3,0.0000,0.12000,-0.7152,70.4413,3.3226,-0.6022,70.2726,4.4014,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,26,0.8667,2899181831,1,3,0.0000,0.12000,-0.7411,70.4475,3.2852,-0.6017,70.2738,4.4020,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,27,0.9000,2899181831,1,3,0.0000,0.12000,-0.7930,70.4599,3.2105,-0.6013,70.2749,4.4028,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,28,0.9333,2899181831,1,3,0.0000,0.12000,-0.8449,70.4724,3.1357,-0.6009,70.2758,4.4035,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,29,0.9667,2899181831,1,3,0.0000,0.12000,-0.8708,70.4786,3.0983,-0.6006,70.2766,4.4042,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,30,1.0000,2899181831,1,3,0.0000,0.12000,-0.9227,70.4911,3.0235,-0.6002,70.2773,4.4048,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,31,1.0333,2899181831,1,3,0.0000,0.12000,-0.9746,70.5035,2.9487,-0.5999,70.2777,4.4054,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,32,1.0667,2899181831,1,3,0.0000,0.12000,-1.0005,70.5097,2.9114,-0.5997,70.2780,4.4057,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,33,1.1000,2899181831,1,3,0.0000,0.12000,-1.0524,70.5222,2.8366,-0.5994,70.2780,4.4060,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,34,1.1333,2899181831,1,3,0.0000,0.12000,-1.1043,70.5346,2.7618,-0.5994,70.2779,4.4059,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,35,1.1667,2899181831,1,3,0.0000,0.12000,-1.1302,70.5409,2.7244,-0.5994,70.2777,4.4057,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,36,1.2000,2899181831,1,3,0.0000,0.12000,-1.1821,70.5533,2.6497,-0.5994,70.2774,4.4054,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,37,1.2333,2899181831,1,3,0.0000,0.12000,-1.2340,70.5658,2.5749,-0.5995,70.2771,4.4049,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,38,1.2667,2899181831,1,3,0.0000,0.12000,-1.2599,70.5720,2.5375,-0.5997,70.2767,4.4043,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,39,1.3000,2899181831,1,3,0.0000,0.12000,-1.3118,70.5844,2.4627,-0.6000,70.2762,4.4036,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,40,1.3333,2899181831,1,3,0.0000,0.12000,-1.3636,70.5969,2.3879,-0.6002,70.2757,4.4029,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,41,1.3667,2899181831,1,3,0.0000,0.12000,-1.3896,70.6031,2.3506,-0.6004,70.2753,4.4021,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,42,1.4000,2899181831,1,3,0.0000,0.12000,-1.4415,70.6156,2.2758,-0.6006,70.2750,4.4013,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,43,1.4333,2899181831,1,3,0.0000,0.12000,-1.4933,70.6280,2.2010,-0.6009,70.2748,4.4006,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,44,1.4667,2899181831,1,3,0.0000,0.12000,-1.5193,70.6342,2.1636,-0.6013,70.2746,4.3998,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,45,1.5000,2899181831,1,3,0.0000,0.12000,-1.5712,70.6467,2.0888,-0.6016,70.2743,4.3991,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,46,1.5333,2899181831,1,3,0.0000,0.12000,-1.6230,70.6591,2.0141,-0.6020,70.2740,4.3983,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
LeftArm,47,1.5667,2899181831,1,3,0.0000,0.12000,-1.6490,70.6654,1.9767,-0.6024,70.2737,4.3976,0.0832,70.2789,4.3447,-1.0000,-0.0047,-0.0003,Flinch,Rumble Linebreaker Bot
RightArm,0,0.0000,2899181831,0,3,0.0000,0.12000,0.0000,0.0000,0.0000,-0.5139,70.2655,4.4359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,1,0.0333,2899181831,0,3,0.0000,0.12000,0.0000,0.0000,0.0000,-0.5137,70.2662,4.4366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,2,0.0667,2899181831,0,3,0.0000,0.12000,0.0000,0.0000,0.0000,-0.5135,70.2671,4.4373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,3,0.1000,2899181831,0,3,0.0000,0.12000,0.0000,0.0000,0.0000,-0.5132,70.2680,4.4382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,4,0.1333,2899181831,0,3,0.0000,0.12000,0.0000,0.0000,0.0000,-0.5130,70.2688,4.4391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,5,0.1667,2899181832,0,3,0.0000,0.12000,-1.9129,70.2622,4.4387,-0.5126,70.2696,4.4401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,6,0.2000,2899181832,0,3,0.0000,0.12000,-1.5129,70.2641,4.4389,-0.5123,70.2704,4.4411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,7,0.2333,2899181832,0,3,0.0000,0.12000,-1.1129,70.2660,4.4390,-0.5123,70.2697,4.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,8,0.2667,2899181832,0,3,0.0000,0.12000,-0.9130,70.2669,4.4390,-0.5123,70.2688,4.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
RightArm,9,0.3000,2899181832,1,5,5.6375,0.12000,-0.7905,70.2674,4.4561,-0.1956,70.3055,4.4235,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,10,0.3333,2899181832,1,5,9.2119,0.12000,-0.6718,70.2702,4.4753,-0.0760,70.3047,4.4171,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,11,0.3667,2899181832,1,5,11.8805,0.12000,-0.6290,70.2723,4.4871,0.0063,70.3131,4.4056,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,12,0.4000,2899181832,1,5,18.0390,0.12000,-0.5781,70.2780,4.5165,0.0520,70.3255,4.3997,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,13,0.4333,2899181832,1,5,22.5521,0.12000,-0.5575,70.2850,4.5522,0.0659,70.3117,4.3963,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,14,0.4667,2899181832,1,5,22.4516,0.12000,-0.5504,70.2886,4.5709,0.0688,70.3011,4.3942,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,15,0.5000,2899181832,1,5,21.8961,0.12000,-0.5372,70.2958,4.6085,0.0582,70.3040,4.3976,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,16,0.5333,2899181832,1,5,19.1665,0.12000,-0.5234,70.3030,4.6460,0.0430,70.3129,4.4036,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
RightArm,17,0.5667,2899181832,1,5,14.6625,0.12000,-0.5163,70.3066,4.6647,0.0290,70.3174,4.4071,-0.7768,70.2681,4.4310,1.0000,0.0047,0.0003,Flinch,Rumble Linebreaker Bot
